recipe_slug	score_bound
falafel	2.4515330838323166
spamburger	2.611474881772621
bacon-fried-rice	2.6169500749926646
chicken-fingers	2.6925263890441045
apple-crisp	2.7045149360550473
cranberry-apple-crisp	2.7981928536958742
bacon-chocolate-chip-cookies	2.6638226388663115
sujebi	1.9319814154642658
pasta-primavera	2.2995951716469403
ramen	2.862582047103822
brownies	2.732737156290239
bacon-wrapped-scallops	2.267330183232452
bacon-egg-muffins	2.22145017179753
breakfast-burritos	2.293798409830086
bolognese-sauce	2.210732714252603
croissants	2.0794411755923012
bacon-souffle	1.6713156990395774
souffle	2.078973060328564
chocolate-souffle	2.401249577743143
butter-croissants	2.034562520831531
pickled-green-beans	1.899091834738429
fried-oysters	1.853484099137125
peanut-butter-brownies	2.6205344133986035
almond-chip-cookies	2.430955227044745
guacamole	2.567928500169522
brioche-bread	4.435382371883219
brioche-bread-with-chocolate	2.7611306573664467
asparagus-quiche	1.8536244764439154
asparagus-burger	1.8971886595710996
ma-la-chicken	2.168390208456304
cold-noodles-with-tomatoes	2.3669088082236636
tamales	2.802617333989796
enchiladas	2.4397129169803407
tacos	2.569894297152792
burritos	2.4590389884907933
peanut-butter-cupcakes	2.741575190830712
pickled-asparagus	1.7762187786379258
chocolate-peanut-butter-cake	2.6546602397461374
udon	2.436725877512803
vegetable-lasagna	1.728528000815679
maple-bacon-donuts	2.5066011258008443
maple-bacon-pancakes	2.375841642981352
spinach-and-ricotta-stuffed-shells	2.1182608333007718
quesadillas	2.3876890487376965
pico-de-gallo	2.0873028207394166
nachos	2.697952569803536
cold-soba-noodles-with-tomato-and-cucumber	2.0780324108187878
fajitas	2.3794998290020444
loaded-nachos	2.4595742855291163
lasagna	2.1654842300474417
chicken-nuggets	2.8666175493312585
pain-au-chocolat	2.8397820702693863
nacho-dip	2.217617675610705
nacho-salad	2.3282615476921364
nacho-casserole	2.118278395154265
nacho-fries	2.5723617186957624
tempura-udon	2.0898577175978934
peach-crisp	2.6224503083316315
apple-pie	2.8275748394123728
blueberry-crisp	2.6002865267644903
berry-crumble	2.326033570736834
strawberry-rhubarb-crisp	2.8766540711738626
peach-cobbler	2.2423772454622735
cranberry-sauce	1.8140320887028338
cherry-cobbler	2.403977577395807
apple-crumble	2.6559569296455767
chocolate-croissants	2.3930628472742224
french-toast	2.1743594062079312
chocolate-babka	2.373788870987781
cinnamon-babka	2.4578921962596714
blueberry-crumble	2.4982659609710365
spam-musubi	1.9356282871678834
taco-salad	2.356096858869459
chiles-rellenos	1.8664660174577155
almond-croissants	2.1277379620275547
cranberry-relish	1.814032088702833
ma-la-beef	1.9043512730962526
chocolate-cake	2.482880417635598
spinach-quiche	1.7780800256807623
mushroom-quiche	1.8933862755061446
quiche-lorraine	2.287806008190541
croissant-aux-amandes	2.0973498818652696
danishes	2.53414888912381
spinach-and-feta-quiche	1.9057897854275978
cold-sesame-noodles	2.2933077199967524
soba-noodle-salad-with-peanut-dressing	2.0537558776828515
dan-dan-noodles	2.5808510534583506
vanilla-souffle	2.3444078584174193
bacon-wrapped-dates	1.9278885518152935
cherry-pie	2.686051463137695
berry-crisp	2.4336644665936373
bacon-and-egg-breakfast-sandwich	2.43945900486901
bacon-wrapped-shrimp-skewers	2.726512758196112
bacon-wrapped-chicken	2.612002216228903
bacon-wrapped-asparagus	2.0872627184942045
bacon-mac-and-cheese	2.5126617869607846
chicken-alfredo-lasagna	2.430372612834806
classic-beef-lasagna	2.2366192151337807
vegetarian-mushroom-lasagna	1.7588210640939475
spinach-and-ricotta-lasagna	2.369456371657029
