recipe_slug	rating_raw
falafel 4
spamburger	4
bacon-fried-rice	4
chicken-fingers	5
apple-crisp	5
cranberry-apple-crisp	5
bacon-chocolate-chip-cookies	5
sujebi	1
pasta-primavera	4
ramen	5
brownies	5
bacon-wrapped-scallops	3
bacon-egg-muffins	3
breakfast-burritos	3
bolognese-sauce	3
croissants	2
bacon-souffle	1
souffle	2
chocolate-souffle	5
butter-croissants	3
pickled-green-beans	1
fried-oysters	1
peanut-butter-brownies	5
almond-chip-cookies	4
guacamole	4
brioche-bread 3	
brioche-bread-with-chocolate	5
asparagus-quiche	1
asparagus-burger	1
ma-la-chicken	2
cold-noodles-with-tomatoes	3
tamales	5
enchiladas	4
tacos	4
burritos	4
peanut-butter-cupcakes	5
pickled-asparagus	1
chocolate-peanut-butter-cake	5
udon	4
vegetable-lasagna	1
maple-bacon-donuts	4
maple-bacon-pancakes	4
spinach-and-ricotta-stuffed-shells	4
quesadillas	3
pico-de-gallo	2
nachos	5
cold-soba-noodles-with-tomato-and-cucumber	2
fajitas	3
loaded-nachos	4
lasagna	3
chicken-nuggets	5
pain-au-chocolat	5
nacho-dip	3
nacho-salad	3
nacho-casserole	2
nacho-fries	4
tempura-udon	2
peach-crisp	5
apple-pie	5
blueberry-crisp	5
berry-crumble	4
strawberry-rhubarb-crisp	5
peach-cobbler	3
cranberry-sauce	1
cherry-cobbler	4
apple-crumble	4
chocolate-croissants	4
french-toast	3
chocolate-babka	3
cinnamon-babka	4
blueberry-crumble	5
spam-musubi	1
taco-salad	3
chiles-rellenos	1
almond-croissants	2
cranberry-relish	1
ma-la-beef	1
chocolate-cake	4
spinach-quiche	2
mushroom-quiche	1
quiche-lorraine	3
croissant-aux-amandes	2
danishes	4
spinach-and-feta-quiche	1
cold-sesame-noodles	3
soba-noodle-salad-with-peanut-dressing	2
dan-dan-noodles	4
vanilla-souffle	3
bacon-wrapped-dates	1
cherry-pie	5
berry-crisp	4
bacon-and-egg-breakfast-sandwich	4
bacon-wrapped-shrimp-skewers	5
bacon-wrapped-chicken	4
bacon-wrapped-asparagus	2
bacon-mac-and-cheese	4
chicken-alfredo-lasagna	4
classic-beef-lasagna	3
vegetarian-mushroom-lasagna	1
spinach-and-ricotta-lasagna	4
