index	u_check
0	1.6722992613612309
1	-1.1520953475076379
2	-1.2351825827057477
3	-0.28850350316775375
4	0.3692015728992648
5	0.430598486578045
6	0.1886436089056594
7	-0.02480316949907202
8	-0.08902455795003907
9	-0.05238364157697531
10	-0.0007812574431825536
11	0.021550489733584144
12	0.01662004553868032
13	0.0037058434807925034
14	-0.0039070355616860775
15	-0.004320374934108466
16	-0.001560554185528469
17	0.0006237459494981409
18	0.0011022074214585176
19	0.0005625648332771812
20	-3.136392840477392e-05
21	-0.00025046041799473495
22	-0.00017099262808745213
23	-2.3761285331546956e-05
24	5.2173939116466155e-05
25	4.815984059619943e-05
26	1.4301033358402045e-05
27	-9.017917794329297e-06
28	-1.2437705134020792e-05
29	-5.4850892280275655e-06
30	1.0199673464235702e-06
31	2.9818590679718704e-06
32	1.7817385636834404e-06
33	1.0044169668012826e-07
34	-6.498690774505642e-07
35	-5.191190164200915e-07
36	-1.1800736165218378e-07
37	1.241242835177283e-07
38	1.3935790882875287e-07
39	5.216383114678571e-08
40	-1.822483953679783e-08
41	-3.461332856034241e-08
42	-1.8074770105206747e-08
43	7.604670772835788e-10
44	7.905657964702637e-09
45	5.511369629640193e-09
46	8.448446168152654e-10
47	-1.6177261478688432e-09
48	-1.534289841760841e-09
49	-4.72114028857187e-10
50	2.759533926963323e-10
51	3.950255455557854e-10
52	1.7867854916012067e-10
53	-2.8988586277639417e-11
54	-9.395415897525414e-11
55	-5.738883809471693e-11
56	-4.067963119768107e-12
57	2.0327448510842793e-11
58	1.661845341491564e-11
59	3.97379675894225e-12
60	-3.828014934287632e-12
61	-4.4331192350820904e-12
62	-1.7080290764320867e-12
63	5.441108510348363e-13
64	1.0947050731094812e-12
65	5.848101188022778e-13
66	-1.4334687616800367e-14
67	-2.482139869870961e-13
68	-1.7691160268447406e-13
69	-2.937210938025731e-14
70	5.027108462437639e-14
71	4.894650911684046e-14
72	1.5605169018610877e-14
73	-8.402702707124534e-15
74	-1.2527915837641187e-14
75	-5.808380194033103e-15
76	8.150398247752164e-16
77	2.9605048688544965e-15
78	1.848323859337871e-15
79	1.5763232917925603e-16
80	-6.350895329020886e-16
81	-5.31618170128499e-16
82	-1.332877381922611e-16
83	1.1791663745125891e-16
84	1.4097794248153523e-16
85	5.586899311923796e-17
86	-1.616077814796317e-17
87	-3.4602277306934515e-17
88	-1.890690168452186e-17
89	1.4259527446503331e-19
90	7.788549643246489e-18
91	5.6760437766846664e-18
92	1.0135629411501723e-18
93	-1.5604924307210159e-18
94	-1.5607486224712573e-18
95	-5.148676834260462e-19
96	2.552224041729276e-19
97	3.9713370636815594e-19
98	1.8865328245171643e-19
99	-2.250297494725961e-20
