state	action
0	1
1	0
2	-1
3	0
4	0
5	0
6	0
7	0
8	1
9	0
10	-1
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	-1
19	0
20	0
21	0
22	0
23	1
24	0
25	0
26	-1
27	0
28	0
29	0
30	1
31	1
32	0
33	0
34	-1
35	0
36	0
37	0
38	1
39	0
40	0
41	0
42	-1
43	0
44	0
45	0
46	1
47	0
48	0
49	0
50	-1
51	0
52	0
53	0
54	1
55	0
56	0
57	0
58	-1
59	0
60	0
61	0
62	1
63	0
64	0
65	0
66	-1
67	0
68	0
69	0
70	1
71	0
72	0
73	0
74	-1
75	0
76	0
77	0
78	1
79	0
80	0
81	0
82	-1
83	0
84	0
85	0
86	1
87	0
88	0
89	0
90	-1
91	0
92	0
93	0
94	1
95	0
96	0
97	0
98	-1
99	0
100	0
101	0
102	1
103	0
104	0
105	-1
106	-1
107	0
108	0
109	0
110	1
111	0
112	0
113	0
114	-1
115	0
116	0
117	0
118	1
119	0
120	-1
121	0
122	-1
123	0
124	0
125	0
126	1
127	0
128	1
129	0
130	-1
131	0
132	0
133	0
134	0
135	0
136	1
137	0
138	-1
139	0
140	0
141	0
142	0
143	0
144	1
145	0
146	-1
147	0
148	0
149	0
150	0
151	1
152	0
153	0
154	-1
155	0
156	0
157	0
158	0
159	1
160	0
161	0
162	-1
163	0
164	0
165	0
166	1
167	1
168	0
169	0
170	-1
171	0
172	0
173	0
174	1
175	0
176	0
177	0
178	-1
179	0
180	0
181	0
182	1
183	0
184	0
185	0
186	-1
187	0
188	0
189	0
190	1
191	0
192	0
193	0
194	-1
195	0
196	0
197	0
198	1
199	0
200	0
201	0
202	-1
203	0
204	0
205	0
206	1
207	0
208	0
209	0
210	-1
211	0
212	0
213	0
214	1
215	0
216	0
217	0
218	-1
219	0
220	0
221	0
222	1
223	0
224	0
225	-1
226	-1
227	0
228	0
229	0
230	1
231	0
232	0
233	-1
234	0
235	0
236	0
237	0
238	1
239	0
240	-1
241	0
242	0
243	0
244	0
245	0
246	1
247	0
248	-1
249	0
250	0
251	0
252	0
253	0
254	1
255	0
256	1
257	0
258	0
259	-1
260	0
261	0
262	0
263	0
264	1
265	0
266	-1
267	-1
268	0
269	0
270	0
271	0
272	1
273	0
274	-1
275	-1
276	0
277	0
278	0
279	1
280	1
281	0
282	-1
283	-1
284	0
285	1
286	0
287	1
288	0
289	0
290	-1
291	-1
292	0
293	1
294	0
295	1
296	0
297	0
298	-1
299	-1
300	0
301	1
302	1
303	1
304	0
305	0
306	-1
307	-1
308	0
309	1
310	1
311	0
312	0
313	0
314	-1
315	-1
316	0
317	1
318	1
319	0
320	0
321	0
322	-1
323	-1
324	0
325	1
326	1
327	0
328	0
329	0
330	-1
331	-1
332	0
333	1
334	1
335	0
336	0
337	0
338	-1
339	-1
340	0
341	1
342	1
343	0
344	0
345	-1
346	-1
347	-1
348	0
349	1
350	1
351	0
352	0
353	-1
354	0
355	-1
356	0
357	1
358	1
359	0
360	-1
361	-1
362	0
363	-1
364	0
365	1
366	1
367	0
368	-1
369	0
370	0
371	-1
372	0
373	1
374	1
375	0
376	-1
377	0
378	0
379	-1
380	0
381	1
382	1
383	0
384	1
385	0
386	0
387	-1
388	-1
389	0
390	0
391	0
392	1
393	0
394	0
395	-1
396	0
397	0
398	0
399	0
400	1
401	0
402	-1
403	-1
404	0
405	-1
406	0
407	1
408	1
409	0
410	-1
411	-1
412	0
413	0
414	0
415	1
416	1
417	0
418	-1
419	-1
420	0
421	1
422	0
423	1
424	0
425	0
426	-1
427	-1
428	0
429	1
430	0
431	1
432	0
433	0
434	-1
435	-1
436	0
437	1
438	1
439	1
440	0
441	0
442	-1
443	-1
444	0
445	1
446	1
447	0
448	0
449	0
450	-1
451	-1
452	0
453	1
454	1
455	0
456	0
457	0
458	-1
459	-1
460	0
461	1
462	1
463	0
464	-1
465	-1
466	-1
467	-1
468	0
469	1
470	1
471	0
472	0
473	-1
474	0
475	-1
476	0
477	1
478	1
479	0
480	-1
481	-1
482	0
483	-1
484	0
485	1
486	1
487	0
488	-1
489	-1
490	0
491	0
492	0
493	1
494	1
495	0
496	-1
497	0
498	0
499	0
500	0
501	1
502	1
503	0
504	-1
505	0
506	0
507	0
508	0
509	1
510	0
511	0
512	1
513	0
514	0
515	0
516	-1
517	0
518	0
519	0
520	1
521	0
522	0
523	-1
524	-1
525	0
526	0
527	0
528	1
529	0
530	0
531	-1
532	0
533	-1
534	0
535	1
536	1
537	0
538	-1
539	-1
540	0
541	-1
542	0
543	1
544	1
545	0
546	-1
547	-1
548	0
549	0
550	0
551	1
552	1
553	0
554	-1
555	-1
556	0
557	1
558	0
559	1
560	0
561	0
562	-1
563	-1
564	0
565	1
566	0
567	1
568	0
569	0
570	-1
571	-1
572	0
573	1
574	1
575	1
576	0
577	0
578	-1
579	-1
580	0
581	1
582	1
583	0
584	0
585	-1
586	-1
587	-1
588	0
589	1
590	1
591	0
592	0
593	-1
594	0
595	-1
596	0
597	1
598	1
599	1
600	-1
601	-1
602	0
603	-1
604	0
605	1
606	1
607	1
608	-1
609	-1
610	0
611	0
612	0
613	1
614	1
615	0
616	-1
617	-1
618	0
619	1
620	0
621	1
622	1
623	0
624	-1
625	0
626	0
627	0
628	0
629	1
630	0
631	0
632	-1
633	0
634	0
635	0
636	1
637	1
638	0
639	0
640	1
641	0
642	0
643	0
644	-1
645	0
646	0
647	0
648	1
649	0
650	0
651	0
652	-1
653	0
654	0
655	0
656	1
657	0
658	0
659	-1
660	-1
661	-1
662	0
663	1
664	1
665	0
666	0
667	-1
668	0
669	-1
670	0
671	1
672	1
673	0
674	-1
675	-1
676	0
677	-1
678	0
679	1
680	1
681	0
682	-1
683	-1
684	0
685	0
686	0
687	1
688	1
689	0
690	-1
691	-1
692	0
693	1
694	0
695	1
696	0
697	0
698	-1
699	-1
700	0
701	1
702	0
703	1
704	0
705	-1
706	-1
707	-1
708	0
709	1
710	1
711	1
712	0
713	-1
714	0
715	-1
716	0
717	1
718	1
719	1
720	-1
721	-1
722	0
723	-1
724	0
725	1
726	1
727	1
728	-1
729	-1
730	0
731	0
732	0
733	1
734	1
735	0
736	-1
737	-1
738	0
739	1
740	0
741	1
742	1
743	0
744	-1
745	-1
746	0
747	1
748	0
749	1
750	0
751	0
752	-1
753	0
754	0
755	0
756	1
757	1
758	0
759	0
760	-1
761	0
762	0
763	0
764	1
765	0
766	0
767	0
768	1
769	0
770	0
771	0
772	-1
773	0
774	0
775	0
776	1
777	0
778	0
779	0
780	-1
781	0
782	0
783	0
784	1
785	0
786	0
787	0
788	-1
789	-1
790	0
791	1
792	1
793	0
794	0
795	-1
796	-1
797	-1
798	0
799	1
800	1
801	0
802	0
803	-1
804	0
805	-1
806	0
807	1
808	1
809	0
810	-1
811	-1
812	0
813	-1
814	0
815	1
816	1
817	0
818	-1
819	-1
820	0
821	0
822	0
823	1
824	1
825	-1
826	-1
827	-1
828	0
829	1
830	0
831	1
832	0
833	-1
834	0
835	-1
836	0
837	1
838	0
839	1
840	-1
841	-1
842	0
843	-1
844	0
845	1
846	1
847	1
848	-1
849	-1
850	0
851	0
852	0
853	1
854	1
855	0
856	-1
857	-1
858	0
859	1
860	0
861	1
862	1
863	0
864	-1
865	-1
866	0
867	1
868	0
869	1
870	0
871	0
872	-1
873	-1
874	0
875	1
876	1
877	1
878	0
879	0
880	-1
881	0
882	0
883	0
884	1
885	0
886	0
887	0
888	-1
889	0
890	0
891	0
892	1
893	0
894	0
895	0
896	1
897	0
898	0
899	0
900	-1
901	0
902	0
903	0
904	1
905	0
906	0
907	0
908	-1
909	0
910	0
911	0
912	1
913	0
914	0
915	0
916	-1
917	-1
918	0
919	1
920	1
921	0
922	0
923	0
924	-1
925	-1
926	0
927	1
928	1
929	0
930	0
931	-1
932	-1
933	-1
934	0
935	1
936	1
937	0
938	0
939	-1
940	0
941	-1
942	0
943	1
944	1
945	1
946	-1
947	-1
948	0
949	-1
950	0
951	1
952	0
953	-1
954	0
955	-1
956	0
957	0
958	0
959	1
960	0
961	-1
962	0
963	-1
964	0
965	1
966	0
967	1
968	0
969	-1
970	0
971	0
972	0
973	1
974	0
975	1
976	-1
977	-1
978	0
979	1
980	0
981	1
982	1
983	-1
984	-1
985	-1
986	0
987	1
988	0
989	1
990	0
991	0
992	-1
993	-1
994	0
995	1
996	1
997	1
998	0
999	0
1000	-1
1001	-1
1002	0
1003	1
1004	1
1005	0
1006	0
1007	0
1008	-1
1009	0
1010	0
1011	0
1012	1
1013	0
1014	0
1015	0
1016	-1
1017	0
1018	0
1019	0
1020	1
1021	0
1022	0
1023	0
1024	1
1025	0
1026	0
1027	0
1028	-1
1029	0
1030	0
1031	0
1032	1
1033	0
1034	0
1035	0
1036	-1
1037	0
1038	0
1039	0
1040	1
1041	0
1042	0
1043	0
1044	-1
1045	-1
1046	0
1047	1
1048	1
1049	0
1050	0
1051	0
1052	-1
1053	-1
1054	0
1055	1
1056	1
1057	0
1058	0
1059	0
1060	-1
1061	-1
1062	0
1063	1
1064	1
1065	1
1066	0
1067	-1
1068	-1
1069	-1
1070	0
1071	1
1072	0
1073	1
1074	0
1075	-1
1076	0
1077	-1
1078	0
1079	1
1080	0
1081	1
1082	0
1083	-1
1084	0
1085	-1
1086	0
1087	1
1088	0
1089	0
1090	0
1091	0
1092	0
1093	0
1094	0
1095	0
1096	0
1097	-1
1098	0
1099	1
1100	0
1101	1
1102	0
1103	-1
1104	0
1105	-1
1106	0
1107	1
1108	0
1109	1
1110	0
1111	-1
1112	-1
1113	-1
1114	0
1115	1
1116	1
1117	1
1118	0
1119	-1
1120	-1
1121	-1
1122	0
1123	1
1124	1
1125	0
1126	0
1127	0
1128	-1
1129	-1
1130	0
1131	1
1132	1
1133	0
1134	0
1135	0
1136	-1
1137	0
1138	0
1139	0
1140	1
1141	0
1142	0
1143	0
1144	-1
1145	0
1146	0
1147	0
1148	1
1149	0
1150	0
1151	0
1152	1
1153	0
1154	0
1155	0
1156	-1
1157	0
1158	0
1159	0
1160	1
1161	0
1162	0
1163	0
1164	-1
1165	0
1166	0
1167	0
1168	1
1169	0
1170	0
1171	0
1172	-1
1173	-1
1174	0
1175	1
1176	1
1177	0
1178	0
